scenario,baseline_label,path_label,max_orientation_error_deg,median_orientation_error_deg,max_patch_displacement_cm,mean_patch_displacement_cm
exact_true_distance,strong_diagonal,vertical,1.3500311979441904e-12,3.197442310920451e-13,1.790180836524724e-15,2.3679429438990993e-16
exact_true_distance,strong_horizontal,diagonal,1.2789769243681803e-12,1.9895196601282805e-13,1.6011864169946884e-15,1.9570819430022223e-16
exact_true_distance,strong_horizontal,horizontal,1.2505552149377763e-12,1.4210854715202004e-14,9.155133597044475e-16,1.5376623367931771e-16
exact_true_distance,strong_horizontal,vertical,1.3500311979441904e-12,1.5631940186722204e-13,1.3322676295501878e-15,1.475826442521969e-16
planar_no_correction,centered,diagonal,0.9229119444615179,0.10903318081683722,0.09927664868943044,0.010312155990471882
planar_no_correction,centered,horizontal,0.43854660110329746,0.07693723186263668,0.08202342498301125,0.010493879809529363
planar_no_correction,centered,vertical,0.8769919245786468,0.15387471738434755,0.0838784400600645,0.010662248183486248
planar_no_correction,mild_diagonal,diagonal,1.6900454468502204,0.3174764522613316,0.18491208526214817,0.027857099850378125
planar_no_correction,mild_diagonal,horizontal,0.9610553218517737,0.16381994673054834,0.14756074117161472,0.023876363257028726
planar_no_correction,mild_diagonal,vertical,1.644473222632044,0.3112835077349061,0.15243558486707356,0.024288159738895913
planar_no_correction,mild_horizontal,diagonal,1.180070190182903,0.18621533704804705,0.13871256092033163,0.018337278071989243
planar_no_correction,mild_horizontal,horizontal,0.6871782529653387,0.1733848765659758,0.13206538232478895,0.021851159325144136
planar_no_correction,mild_horizontal,vertical,1.0927717747484564,0.11083888712474277,0.09919668797723023,0.0123841528705524
planar_no_correction,mild_vertical,diagonal,1.4161600587739827,0.18581776869034172,0.14145304089491115,0.018628200361318722
planar_no_correction,mild_vertical,horizontal,0.6605343169789819,0.1091333631436271,0.09562125114273745,0.012189157980345125
planar_no_correction,mild_vertical,vertical,1.37396352320323,0.3467701787078852,0.13437318591781086,0.022145334021689826
planar_no_correction,strong_diagonal,diagonal,2.6859875410866323,0.6341704190559554,0.31127555354749187,0.06238436387334304
planar_no_correction,strong_diagonal,horizontal,1.6728704423076692,0.4371573478212625,0.24669366746597246,0.05141415848038477
planar_no_correction,strong_diagonal,vertical,2.628326056629902,0.44844446624696843,0.2558568323976993,0.052599727192488066
planar_no_correction,strong_horizontal,diagonal,1.5170046069679586,0.26373064671283686,0.19316190407838224,0.03278154208519458
planar_no_correction,strong_horizontal,horizontal,0.9929685627911056,0.30893115329963905,0.20059438130672047,0.04111539865817337
planar_no_correction,strong_horizontal,vertical,1.3161133358614308,0.2179688806748743,0.12291544866735646,0.018140626440683618
