center_az_deg,center_el_deg,scenario,center_displacement_cm,max_orientation_error_deg,median_orientation_error_deg,orientation_error_horizontal_deg,orientation_error_oblique_45_deg,orientation_error_vertical_deg,jacobian_det,jacobian_scale_major,jacobian_scale_minor
-50.0,-47.5,exact_true_distance,5.0242958677880805e-15,2.5693225325085223e-11,1.2718714970105793e-11,2.5437429940211587e-11,1.5262457964126952e-11,0.0,1.0000000000004015,1.0000000000004272,0.9999999999999742
-47.5,-47.5,exact_true_distance,0.0,7.645439836778678e-12,5.3788085097039584e-12,0.0,7.631228982063476e-12,0.0,1.0000000000000462,1.0000000000001563,0.9999999999998899
-45.0,-47.5,exact_true_distance,0.0,5.3717030823463574e-12,2.5366375666635577e-12,5.087485988042317e-12,1.2789769243681803e-12,0.0,0.9999999999996465,0.999999999999873,0.9999999999997735
-42.5,-47.5,exact_true_distance,0.0,5.3717030823463574e-12,2.5295321393059567e-12,5.087485988042317e-12,1.2647660696529783e-12,0.0,0.9999999999998241,0.9999999999999618,0.9999999999998623
-40.0,-47.5,exact_true_distance,0.0,2.2879476091475226e-11,1.0182077403442236e-11,2.034994395216927e-11,2.5437429940211587e-12,0.0,0.9999999999998685,1.0000000000001563,0.9999999999997122
-37.5,-47.5,exact_true_distance,0.0,1.0345502232667059e-11,5.101696842757519e-12,1.0174971976084635e-11,3.808509063674137e-12,0.0,1.0000000000000018,1.0000000000000924,0.9999999999999094
-35.0,-47.5,exact_true_distance,0.0,5.115907697472721e-12,2.5508484213787597e-12,5.115907697472721e-12,2.5437429940211587e-12,0.0,0.9999999999999574,1.000000000000023,0.9999999999999343
-32.5,-47.5,exact_true_distance,0.0,5.3717030823463574e-12,2.5295321393059567e-12,5.087485988042317e-12,1.2789769243681803e-12,0.0,1.0000000000000018,1.0000000000000506,0.9999999999999512
-30.0,-47.5,exact_true_distance,1.7763568394002505e-15,1.0317080523236655e-11,5.073275133327115e-12,1.0174971976084635e-11,3.808509063674137e-12,0.0,1.0000000000000906,1.0000000000001368,0.9999999999999538
-27.5,-47.5,exact_true_distance,0.0,6.536993168992922e-13,4.476419235288631e-13,0.0,6.394884621840902e-13,0.0,0.9999999999999796,1.0000000000000009,0.9999999999999787
-25.0,-47.5,exact_true_distance,8.881784197001252e-16,1.3727685654885136e-11,5.087485988042317e-12,1.0174971976084635e-11,1.2079226507921703e-11,0.0,1.000000000000246,1.000000000000274,0.999999999999972
-22.5,-47.5,exact_true_distance,8.881784197001252e-16,5.087485988042317e-12,2.5508484213787597e-12,5.087485988042317e-12,2.5437429940211587e-12,0.0,0.9999999999999574,1.000000000000023,0.9999999999999343
-20.0,-47.5,exact_true_distance,0.0,6.139089236967266e-12,2.5437429940211587e-12,5.115907697472721e-12,0.0,0.0,1.0000000000000462,1.000000000000086,0.9999999999999603
-17.5,-47.5,exact_true_distance,0.0,5.158540261618327e-12,2.5437429940211587e-12,5.115907697472721e-12,3.183231456205249e-12,0.0,0.9999999999998019,0.9999999999999467,0.9999999999998552
-15.0,-47.5,exact_true_distance,8.881784197001252e-16,1.1084466677857563e-11,5.094591415399918e-12,1.0174971976084635e-11,8.270717444247566e-12,0.0,1.000000000000024,1.0000000000001168,0.9999999999999072
-12.5,-47.5,exact_true_distance,0.0,9.094947017729282e-12,3.90087961932295e-12,5.115907697472721e-12,8.58335624798201e-12,0.0,0.999999999999813,1.0000000000000209,0.9999999999997922
-10.0,-47.5,exact_true_distance,0.0,6.536993168992922e-13,4.476419235288631e-13,0.0,6.394884621840902e-13,0.0,0.9999999999999796,1.0000000000000009,0.9999999999999787
-7.5,-47.5,exact_true_distance,0.0,6.622258297284134e-12,2.5366375666635577e-12,5.087485988042317e-12,6.394884621840902e-13,0.0,0.9999999999998908,1.0000000000000164,0.9999999999998743
-5.0,-47.5,exact_true_distance,2.220446049250313e-16,6.622258297284134e-12,2.5437429940211587e-12,5.115907697472721e-12,5.7411853049416095e-12,0.0,0.9999999999998908,1.0000000000000164,0.9999999999998743
-2.5,-47.5,exact_true_distance,0.0,1.0231815394945443e-11,5.101696842757519e-12,1.0174971976084635e-11,5.7980287238024175e-12,0.0,0.9999999999999822,1.0000000000000808,0.9999999999999014
0.0,-47.5,exact_true_distance,0.0,3.154809746774845e-12,2.2239987629291136e-12,0.0,3.154809746774845e-12,0.0,0.9999999999998901,1.0000000000000002,0.9999999999998899
2.5,-47.5,exact_true_distance,0.0,1.0231815394945443e-11,5.087485988042317e-12,1.0174971976084635e-11,4.376943252282217e-12,0.0,0.9999999999999822,1.0000000000000808,0.9999999999999014
5.0,-47.5,exact_true_distance,2.220446049250313e-16,6.622258297284134e-12,2.5366375666635577e-12,5.087485988042317e-12,6.394884621840902e-13,0.0,0.9999999999998908,1.0000000000000164,0.9999999999998743
7.5,-47.5,exact_true_distance,0.0,6.622258297284134e-12,2.5437429940211587e-12,5.115907697472721e-12,5.7411853049416095e-12,0.0,0.9999999999998908,1.0000000000000164,0.9999999999998743
10.0,-47.5,exact_true_distance,0.0,6.536993168992922e-13,4.476419235288631e-13,0.0,6.394884621840902e-13,0.0,0.9999999999999796,1.0000000000000009,0.9999999999999787
