drift_path,drift_deg,gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,condition,time_samples
elevation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
azimuth,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
elevation,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
diagonal,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_energy,1
