baseline_label,baseline_az_deg,baseline_el_deg,path_label,session_index,gaze_shift_az_deg,gaze_shift_el_deg,gaze_shift_magnitude_deg,effective_center_az_deg,effective_center_el_deg,effective_center_radius_deg,scenario,center_az_deg,center_el_deg,center_displacement_cm,max_orientation_error_deg,median_orientation_error_deg,orientation_error_horizontal_deg,orientation_error_oblique_45_deg,orientation_error_vertical_deg,jacobian_det,jacobian_scale_major,jacobian_scale_minor,patch_mean_displacement_cm,patch_median_displacement_cm,patch_max_displacement_cm,patch_mean_radial_error_cm,patch_mean_abs_tangential_error_cm,patch_max_abs_tangential_error_cm,patch_mean_normalized_error,patch_p95_displacement_cm,patch_corner_displacement_cm,patch_center_displacement_cm
centered,0.0,0.0,horizontal,5,2.5,0.0,2.5,2.5,0.0,2.5,exact_true_distance,2.5,0.0,0.0,1.1368683772161603e-13,7.105427357601002e-14,0.0,1.1368683772161603e-13,0.0,1.0000000000000036,1.0000000000000036,1.0,5.943430759832467e-17,2.7755575615628914e-17,2.482534153247273e-16,-3.5797002777581415e-18,3.0747840829073954e-17,2.3915410848715594e-16,6.492382335408473e-17,2.220446049250313e-16,2.220446049250313e-16,0.0
centered,0.0,0.0,horizontal,5,2.5,0.0,2.5,2.5,0.0,2.5,exact_distance_minus_5cm,2.5,0.0,0.21830471454256029,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,0.44444444444444553,0.6666666666666682,0.6666666666666667,0.33229195974866155,0.32756536092721905,0.6695998321423838,-0.33229195974866155,2.4573529310944507e-17,1.942890293094024e-16,0.33333333333333337,0.5815392141587254,0.37345730803347493,0.21830471454256029
centered,0.0,0.0,horizontal,5,2.5,0.0,2.5,2.5,0.0,2.5,exact_distance_plus_5cm,2.5,0.0,0.21830471454256029,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,1.7777777777777821,1.3333333333333364,1.3333333333333335,0.33229195974866155,0.32756536092721883,0.6695998321423835,0.33229195974866144,4.9739403223442074e-17,3.885780586188048e-16,0.3333333333333333,0.5815392141587251,0.37345730803347504,0.21830471454256029
centered,0.0,0.0,horizontal,5,2.5,0.0,2.5,2.5,0.0,2.5,planar_no_correction,2.5,0.0,0.00041567412980725305,0.02727929416298025,0.019215974857445417,0.0,0.027279294162951828,0.0,0.9971462064642567,0.9990476306803348,0.9980967631995852,0.0023088705084215555,0.0013587897125048132,0.011222322089767277,-0.002231643769774446,0.0005241819033680474,0.0033672957851503017,0.0017163270732193057,0.0075193587120790835,0.0020661336205418496,0.00041567412980725305
centered,0.0,0.0,horizontal,6,3.0,0.0,3.0,3.0,0.0,3.0,exact_true_distance,3.0,0.0,1.1102230246251565e-16,1.1368683772161603e-13,7.105427357601002e-14,0.0,9.947598300641403e-14,0.0,1.0000000000000038,1.0000000000000036,1.0000000000000002,9.045637923641838e-17,5.551115123125783e-17,4.002966042486721e-16,-8.175853757373335e-19,3.3550519314213186e-17,3.121465642018263e-16,7.498834460134244e-17,2.482534153247273e-16,0.0,1.1102230246251565e-16
centered,0.0,0.0,horizontal,6,3.0,0.0,3.0,3.0,0.0,3.0,exact_distance_minus_5cm,3.0,0.0,0.26203889641520606,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,0.44444444444444553,0.6666666666666682,0.6666666666666667,0.3573403625938947,0.34956838275128416,0.7078051580142383,-0.3573403625938947,2.6955807207608673e-17,2.7755575615628914e-16,0.33313503866745986,0.6220340201660349,0.3604139331570203,0.26203889641520606
centered,0.0,0.0,horizontal,6,3.0,0.0,3.0,3.0,0.0,3.0,exact_distance_plus_5cm,3.0,0.0,0.26203889641520606,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,1.7777777777777821,1.3333333333333364,1.3333333333333335,0.3573403625938947,0.3495683827512839,0.7078051580142386,0.3573403625938946,5.178061859255696e-17,4.718447854656915e-16,0.3331350386674598,0.6220340201660344,0.3604139331570202,0.26203889641520606
centered,0.0,0.0,horizontal,6,3.0,0.0,3.0,3.0,0.0,3.0,planar_no_correction,3.0,0.0,0.000718525848169671,0.03928766694261299,0.027674870778483296,0.0,0.03928766694261299,0.0,0.9958930655783551,0.9986289445956543,0.9972603647910416,0.0028761004172704113,0.0016507339603228162,0.013264516033452033,-0.0027907691401255763,0.0006088326499917836,0.003745736539436267,0.0019873064688893266,0.00930818827055516,0.0018645947205953688,0.000718525848169671
centered,0.0,0.0,horizontal,7,3.5,0.0,3.5,3.5,0.0,3.5,exact_true_distance,3.5,0.0,1.1102230246251565e-16,4.263256414560601e-14,1.4210854715202004e-14,0.0,2.842170943040401e-14,0.0,1.0000000000000009,1.0000000000000009,1.0,6.038144132923011e-17,1.3877787807814457e-17,3.1401849173675503e-16,4.5427685064041425e-18,3.406131365336601e-17,2.39154108487156e-16,5.631842897436394e-17,2.220446049250313e-16,0.0,1.1102230246251565e-16
centered,0.0,0.0,horizontal,7,3.5,0.0,3.5,3.5,0.0,3.5,exact_distance_minus_5cm,3.5,0.0,0.3058131007524214,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,0.44444444444444553,0.6666666666666682,0.6666666666666667,0.3864056909703337,0.3763590899086846,0.7467745695952331,-0.3864056909703337,2.6938263900594035e-17,1.942890293094024e-16,0.33333333333333337,0.6641223575130076,0.35235953390575836,0.3058131007524214
centered,0.0,0.0,horizontal,7,3.5,0.0,3.5,3.5,0.0,3.5,exact_distance_plus_5cm,3.5,0.0,0.30581310075242185,8.526512829121202e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,1.7777777777777821,1.3333333333333364,1.3333333333333335,0.3864056909703337,0.3763590899086847,0.7467745695952331,0.3864056909703337,5.440179505239104e-17,3.885780586188048e-16,0.3333333333333333,0.6641223575130076,0.35235953390575814,0.30581310075242185
centered,0.0,0.0,horizontal,7,3.5,0.0,3.5,3.5,0.0,3.5,planar_no_correction,3.5,0.0,0.001141444960241489,0.053483700703822024,0.037674797483880695,0.0,0.053483700703822024,0.0,0.9944136602877661,0.9981342091396336,0.9962724964059949,0.0035781462151402094,0.002052809073712775,0.015594635608396986,-0.0034831080388968445,0.0007105636572071319,0.004148278599047284,0.002308277008162313,0.011328289869791912,0.0017445716225349245,0.001141444960241489
centered,0.0,0.0,horizontal,8,4.0,0.0,4.0,4.0,0.0,4.0,exact_true_distance,4.0,0.0,0.0,3.410605131648481e-13,2.4158453015843406e-13,0.0,3.410605131648481e-13,0.0,1.0000000000000122,1.000000000000012,1.0000000000000002,9.123654041895167e-17,5.551115123125783e-17,4.002966042486721e-16,1.6393396444008389e-18,3.7684192623821105e-17,3.121465642018263e-16,6.915318300450748e-17,2.482534153247273e-16,0.0,0.0
centered,0.0,0.0,horizontal,8,4.0,0.0,4.0,4.0,0.0,4.0,exact_distance_minus_5cm,4.0,0.0,0.3496340597175521,3.126388037344441e-13,2.1316282072803006e-13,0.0,3.126388037344441e-13,0.0,0.4444444444444492,0.6666666666666737,0.6666666666666667,0.419060402845533,0.4097469442083923,0.7864169763718971,-0.419060402845533,2.934892067625247e-17,2.7755575615628914e-16,0.33313503866745986,0.7067626449912824,0.3496340597175521,0.3496340597175521
centered,0.0,0.0,horizontal,8,4.0,0.0,4.0,4.0,0.0,4.0,exact_distance_plus_5cm,4.0,0.0,0.349634059717552,3.126388037344441e-13,2.1316282072803006e-13,0.0,3.126388037344441e-13,0.0,1.7777777777777966,1.3333333333333475,1.3333333333333335,0.419060402845533,0.4097469442083922,0.786416976371897,0.419060402845533,5.634187841636272e-17,4.718447854656915e-16,0.3331350386674598,0.706762644991282,0.349634059717552,0.349634059717552
centered,0.0,0.0,horizontal,8,4.0,0.0,4.0,4.0,0.0,4.0,planar_no_correction,4.0,0.0,0.0017046279560586353,0.06986955596165956,0.04921728303953188,0.0,0.06986955596165956,0.0,0.9927087784541286,0.997563461987893,0.9951334589539895,0.004430269803650561,0.0026444687501302423,0.01823388846540213,-0.004324254648864513,0.0008293468255113222,0.004575470168077969,0.0026795872767982187,0.013717418142676241,0.0017046279560586353,0.0017046279560586353
centered,0.0,0.0,horizontal,9,4.5,0.0,4.5,4.5,0.0,4.5,exact_true_distance,4.5,0.0,0.0,4.263256414560601e-14,1.4210854715202004e-14,0.0,2.842170943040401e-14,0.0,1.0000000000000009,1.0000000000000009,1.0,8.146112692616375e-17,2.7755575615628914e-17,4.965068306494546e-16,4.713104237427703e-18,4.2137898476386376e-17,2.815036482596467e-16,6.053092527038591e-17,2.482534153247273e-16,0.0,0.0
centered,0.0,0.0,horizontal,9,4.5,0.0,4.5,4.5,0.0,4.5,exact_distance_minus_5cm,4.5,0.0,0.39350853412309217,5.684341886080802e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,0.44444444444444364,0.6666666666666667,0.6666666666666654,0.45454729235170144,0.4476121840544286,0.8266585834463535,-0.45454729235170144,3.3334347246283657e-17,2.7755575615628914e-16,0.33333333333333337,0.7490112025603173,0.35235953390575836,0.39350853412309217
centered,0.0,0.0,horizontal,9,4.5,0.0,4.5,4.5,0.0,4.5,exact_distance_plus_5cm,4.5,0.0,0.3935085341230924,5.684341886080802e-14,4.263256414560601e-14,0.0,5.684341886080802e-14,0.0,1.7777777777777746,1.3333333333333335,1.3333333333333308,0.4545472923517014,0.4476121840544284,0.8266585834463537,0.4545472923517014,6.745298351204522e-17,3.885780586188048e-16,0.3333333333333333,0.7490112025603172,0.35235953390575814,0.3935085341230924
centered,0.0,0.0,horizontal,9,4.5,0.0,4.5,4.5,0.0,4.5,planar_no_correction,4.5,0.0,0.002428357273104309,0.08844772582756377,0.06230409307717366,0.0,0.08844772582753535,0.0,0.9907793277390599,0.9969167466045769,0.993843599391403,0.005449469971140194,0.003484972884008728,0.021203634406797293,-0.005331852595070298,0.0009637897017984514,0.005027758240632797,0.0031014782418687407,0.016322895219899814,0.0017445716225349245,0.002428357273104309
centered,0.0,0.0,horizontal,10,5.0,0.0,5.0,5.0,0.0,5.0,exact_true_distance,5.0,0.0,2.220446049250313e-16,4.263256414560601e-14,1.4210854715202004e-14,0.0,2.842170943040401e-14,0.0,1.0000000000000009,1.0000000000000009,1.0,9.630641865103639e-17,1.1102230246251565e-16,4.002966042486721e-16,8.339624818870238e-18,4.227106870990588e-17,3.121465642018263e-16,6.668652298594944e-17,2.482534153247273e-16,0.0,2.220446049250313e-16
centered,0.0,0.0,horizontal,10,5.0,0.0,5.0,5.0,0.0,5.0,exact_distance_minus_5cm,5.0,0.0,0.4374433176296201,1.9895196601282805e-13,1.3500311979441904e-13,0.0,1.9895196601282805e-13,0.0,0.4444444444444473,0.666666666666671,0.6666666666666666,0.491913607294367,0.48631856526696726,0.8674395174284654,-0.491913607294367,3.291949963334928e-17,2.7755575615628914e-16,0.33333333333333337,0.7927104450984527,0.3604139331570203,0.4374433176296201
centered,0.0,0.0,horizontal,10,5.0,0.0,5.0,5.0,0.0,5.0,exact_distance_plus_5cm,5.0,0.0,0.43744331762961974,1.9895196601282805e-13,1.3500311979441904e-13,0.0,1.9895196601282805e-13,0.0,1.7777777777777892,1.333333333333342,1.3333333333333333,0.491913607294367,0.4863185652669673,0.8674395174284653,0.491913607294367,6.365330960452196e-17,4.718447854656915e-16,0.3333333333333333,0.7927104450984525,0.3604139331570202,0.43744331762961974
centered,0.0,0.0,horizontal,10,5.0,0.0,5.0,5.0,0.0,5.0,planar_no_correction,5.0,0.0,0.0033330138931129127,0.10922103609269129,0.07693723186263668,0.0,0.10922103609269129,0.0,0.9886263350020031,0.996194112239044,0.9924033106158081,0.0066541338322842775,0.004367099634035951,0.024525418178760035,-0.006525015828534744,0.0011081637501056754,0.005505511566598483,0.003574137035358158,0.01925598800117473,0.0018645947205953688,0.0033330138931129127
centered,0.0,0.0,horizontal,11,5.5,0.0,5.5,5.5,0.0,5.5,exact_true_distance,5.5,0.0,0.0,1.9895196601282805e-13,1.2789769243681803e-13,0.0,1.8474111129762605e-13,0.0,1.0000000000000064,1.0000000000000064,1.0,9.031196996751886e-17,2.7755575615628914e-17,4.965068306494546e-16,-6.257193853213154e-18,4.64876594019409e-17,2.815036482596467e-16,5.679665030415498e-17,4.440892098500626e-16,2.220446049250313e-16,0.0
centered,0.0,0.0,horizontal,11,5.5,0.0,5.5,5.5,0.0,5.5,exact_distance_minus_5cm,5.5,0.0,0.48144524098769303,1.9895196601282805e-13,1.2789769243681803e-13,0.0,1.8474111129762605e-13,0.0,0.44444444444444736,0.666666666666671,0.6666666666666667,0.5306420193861069,0.5254645211267526,0.9087111538933365,-0.5306420193861069,3.75117182342397e-17,2.7755575615628914e-16,0.33333333333333337,0.8369001557454446,0.37345730803347493,0.48144524098769303
