gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,population_response_correlation,median_per_neuron_response_change,median_relative_response_change,fraction_large_response_change,rdm_similarity_to_baseline,image_discriminability,shifted_image_discriminability,condition,summary_radius
1.0,4.0,6.696152886892321,35.68078024297893,0.38125,0.1573347028515144,0.006563933061331906,-0.006563933061331906,0.05829650946363024,0.3559798729654339,7.167568402998454,1.0403469126817628,0.89375,0.8195729205118114,0.9645812799327296,1.0043814039340422,gaze_only_perfect_noiseless,5.0
2.0,4.0,7.026471553390891,31.04205960732378,0.38125,0.9294560659684379,0.007278367913615913,-0.007278367913615913,0.05664111941463057,0.3200121891862793,7.240257579612642,1.0206240015056882,0.91875,0.792077999999383,0.9645812799327296,0.9979199598675923,gaze_only_perfect_noiseless,6.0
3.0,4.0,8.156544529258554,33.54149367247341,0.4,1.362254237931893,0.004043490981208819,-0.004043490981208819,0.06662365402104958,0.234637927094241,7.318817131327805,1.03808477763405,0.94375,0.7295972280693062,0.9645812799327296,0.976265517214156,gaze_only_perfect_noiseless,7.0
4.0,4.0,7.772447964070295,34.44147106938363,0.4375,1.2178453095258703,0.001738092906220734,-0.001738092906220734,0.061180158833704146,0.133033654997757,7.443964563718023,1.0353582316241905,0.9625,0.6802338696019521,0.9645812799327296,0.9676678659512735,gaze_only_perfect_noiseless,8.0
5.0,4.0,9.152253198911218,36.56526303635266,0.45625,1.7719157095985807,0.0019479283950988857,-0.0019479283950988857,0.0778539903470023,0.048379904991370314,7.735140890510312,1.0436025496691865,0.9625,0.663771553153531,0.9645812799327296,0.9754518967640377,gaze_only_perfect_noiseless,9.0
0.0,5.0,7.033825621792801,31.45421507792031,0.3875,-0.007151569549854742,-0.0002387471710190714,0.0002387471710190714,0.05558066029704872,0.20576506943414843,8.604647235918378,1.1246761842536306,0.9875,0.6864293324954961,0.9645812799327296,1.005722725294733,gaze_only_perfect_noiseless,5.0
1.0,5.0,8.172697224055206,32.66329287936781,0.41875,0.21093020748004676,0.009733347893544742,-0.009733347893544742,0.06131997359415631,0.2267222612622878,8.245477561697532,1.1223274409959922,0.95625,0.6822656687471101,0.9645812799327296,1.0024040492164858,gaze_only_perfect_noiseless,6.0
2.0,5.0,8.207125945861236,35.36945056285571,0.45625,0.3416106272426518,0.011145124787533323,-0.011145124787533323,0.08289193420358243,0.20558699850331075,8.038831323191559,1.086121939936979,0.9625,0.6615606247156101,0.9645812799327296,0.9953130020906175,gaze_only_perfect_noiseless,7.0
3.0,5.0,9.619447941389382,36.45559113389148,0.475,0.2175544247059804,0.013321691523013657,-0.013321691523013657,0.07603009485867995,0.13887510515565663,8.185470432821543,1.0723082807598776,0.975,0.5899746954104527,0.9645812799327296,0.9737905427366336,gaze_only_perfect_noiseless,8.0
4.0,5.0,9.601051078684328,37.59813906680219,0.4875,1.0872236915338291,0.0065414633228244035,-0.0065414633228244035,0.07013488118083955,0.056154871892110624,8.20209593188098,1.0313870384041457,0.975,0.48239079641588106,0.9645812799327296,0.9583541104349773,gaze_only_perfect_noiseless,9.0
